Month Ending,ME Date,Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December,31,2017,Pinal,AZ,Passenger,2,0,2,213,215,0.93
December,31,2017,Skagit,WA,Truck,1,0,1,31731,31732,0
December,31,2017,Cape May,NJ,Passenger,0,1,1,22,23,4.35
February,28,2017,Columbia,WA,Passenger,0,1,1,2337,2338,0.04
February,28,2017,New London,CT,Passenger,2,1,3,265,268,1.12
February,28,2017,Pacific,WA,Passenger,5,6,11,14997,15008,0.07
February,28,2017,Island,WA,Passenger,100,122,222,59448,59670,0.37
February,28,2017,Harnett,NC,Passenger,1,0,1,263,264,0.38
February,28,2017,Allegheny,PA,Passenger,1,0,1,92,93,1.08
February,28,2017,Prince William,VA,Passenger,0,3,3,277,280,1.07
February,28,2017,Clark,WA,Truck,0,0,0,77521,77521,0
February,28,2017,Durham,NC,Passenger,0,1,1,37,38,2.63
February,28,2017,Cowlitz,WA,Passenger,50,46,96,69052,69148,0.14
February,28,2017,DeKalb,IN,Passenger,1,0,1,1,2,50
February,28,2017,San Mateo,CA,Passenger,0,1,1,165,166,0.6
February,28,2017,Santa Clara,CA,Passenger,5,3,8,424,432,1.85
February,28,2017,Salt Lake,UT,Passenger,0,1,1,332,333,0.3
February,28,2017,Lane,OR,Passenger,0,1,1,258,259,0.39
February,28,2017,Jefferson,NY,Passenger,1,1,2,255,257,0.78
February,28,2017,Virginia Beach,VA,Passenger,2,1,3,651,654,0.46
February,28,2017,Skagit,WA,Truck,1,0,1,31404,31405,0
February,28,2017,Clark,WA,Passenger,695,434,1129,297935,299064,0.38
February,28,2017,Utah,UT,Passenger,0,1,1,169,170,0.59
February,28,2017,Dane,WI,Passenger,1,0,1,168,169,0.59
February,28,2017,Manassas,VA,Passenger,0,1,1,8,9,11.11
February,28,2017,Essex,NJ,Passenger,1,0,1,16,17,5.88
February,28,2017,Adams,WA,Truck,0,0,0,5071,5071,0
February,28,2017,Benton,WA,Passenger,134,133,267,127653,127920,0.21
February,28,2017,Mason,WA,Truck,0,0,0,19196,19196,0
February,28,2017,Wayne,MI,Passenger,0,2,2,69,71,2.82
February,28,2017,Lee,AL,Passenger,1,0,1,36,37,2.7
February,28,2017,Douglas,WA,Passenger,30,19,49,26547,26596,0.18
February,28,2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
February,28,2017,Franklin,WA,Truck,0,0,0,17907,17907,0
February,28,2017,Richmond,GA,Passenger,0,1,1,99,100,1
February,28,2017,Dakota,MN,Passenger,0,1,1,41,42,2.38
February,28,2017,Ferry,WA,Truck,0,0,0,3562,3562,0
February,28,2017,Guilford,NC,Passenger,1,0,1,32,33,3.03
February,28,2017,Kittitas,WA,Truck,0,0,0,13383,13383,0
February,28,2017,Prince George's,MD,Passenger,0,1,1,186,187,0.53
February,28,2017,Franklin,WA,Passenger,26,42,68,55221,55289,0.12
February,28,2017,Orange,FL,Passenger,1,1,2,153,155,1.29
February,28,2017,Jackson,MO,Passenger,1,0,1,71,72,1.39
February,28,2017,Latah,ID,Passenger,0,1,1,131,132,0.76
February,28,2017,Hidalgo,TX,Passenger,0,1,1,95,96,1.04
February,28,2017,Middlesex,MA,Passenger,1,0,1,158,159,0.63
February,28,2017,Dallas,TX,Passenger,1,0,1,210,211,0.47
February,28,2017,Lincoln,WA,Passenger,2,4,6,7509,7515,0.08
February,28,2017,Island,WA,Truck,0,0,0,20499,20499,0
February,28,2017,Montgomery,TN,Passenger,1,0,1,294,295,0.34
February,28,2017,Cowlitz,WA,Truck,0,0,0,27871,27871,0
February,28,2017,Spokane,WA,Passenger,226,196,422,295023,295445,0.14
February,28,2017,Maui,HI,Passenger,1,0,1,71,72,1.39
February,28,2017,Fairfax,VA,Passenger,2,2,4,877,881,0.45
February,28,2017,Jefferson,WA,Passenger,89,55,144,23601,23745,0.61
February,28,2017,Manatee,FL,Passenger,1,0,1,55,56,1.79
February,28,2017,Clallam,WA,Passenger,75,64,139,47981,48120,0.29
February,28,2017,Okanogan,WA,Truck,0,0,0,16300,16300,0
February,28,2017,Wahkiakum,WA,Passenger,0,1,1,2843,2844,0.04
February,28,2017,Monterey,CA,Passenger,0,1,1,224,225,0.44
February,28,2017,Honolulu,HI,Passenger,4,2,6,628,634,0.95
February,28,2017,Grant,WA,Truck,0,0,0,24996,24996,0
February,28,2017,Charles,MD,Passenger,0,1,1,91,92,1.09
February,28,2017,Benton,WA,Truck,0,0,0,39743,39743,0
February,28,2017,Franklin,MA,Passenger,0,1,1,4,5,20
February,28,2017,Lewis,WA,Passenger,45,31,76,54970,55046,0.14
February,28,2017,Grant,WA,Passenger,16,21,37,60193,60230,0.06
February,28,2017,Cascade,MT,Passenger,0,1,1,59,60,1.67
February,28,2017,King,WA,Passenger,9098,3713,12811,1385263,1398074,0.92
February,28,2017,Whatcom,WA,Passenger,401,146,547,141888,142435,0.38
February,28,2017,Stevens,WA,Truck,0,0,0,18333,18333,0
February,28,2017,Whitman,WA,Passenger,8,18,26,21938,21964,0.12
February,28,2017,San Juan,WA,Passenger,88,31,119,13403,13522,0.88
February,28,2017,Oklahoma,OK,Passenger,0,1,1,187,188,0.53
February,28,2017,Nassau,NY,Passenger,0,1,1,39,40,2.5
February,28,2017,Walla Walla,WA,Passenger,17,21,38,34781,34819,0.11
February,28,2017,Pinal,AZ,Passenger,2,0,2,263,265,0.75
February,28,2017,Hardin,KY,Passenger,0,1,1,128,129,0.78
February,28,2017,Dale,AL,Passenger,0,1,1,65,66,1.52
February,28,2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
February,28,2017,Grays Harbor,WA,Passenger,27,24,51,44252,44303,0.12
February,28,2017,Klickitat,WA,Truck,0,0,0,7937,7937,0
February,28,2017,San Diego,CA,Passenger,4,1,5,2821,2826,0.18
February,28,2017,Madison,ID,Passenger,1,0,1,44,45,2.22
February,28,2017,Klickitat,WA,Passenger,20,22,42,14768,14810,0.28
February,28,2017,Asotin,WA,Truck,0,0,0,6475,6475,0
February,28,2017,King,WA,Truck,8,1,9,190501,190510,0
February,28,2017,New Haven,CT,Passenger,0,1,1,62,63,1.59
February,28,2017,Ferry,WA,Passenger,2,1,3,4391,4394,0.07
February,28,2017,Clackamas,OR,Passenger,1,2,3,361,364,0.82
February,28,2017,Pend Oreille,WA,Truck,0,0,0,5573,5573,0
February,28,2017,Cape May,NJ,Passenger,0,1,1,19,20,5
February,28,2017,Norfolk,MA,Passenger,1,0,1,37,38,2.63
February,28,2017,Whatcom,WA,Truck,2,0,2,41327,41329,0
February,28,2017,Missoula,MT,Passenger,1,0,1,81,82,1.22
February,28,2017,Orange,CA,Passenger,2,1,3,676,679,0.44
February,28,2017,Polk,FL,Passenger,1,0,1,65,66,1.52
February,28,2017,Walla Walla,WA,Truck,0,0,0,13161,13161,0
February,28,2017,Los Angeles,CA,Passenger,3,1,4,1376,1380,0.29
February,28,2017,Clark,NV,Passenger,1,3,4,877,881,0.45
February,28,2017,Pend Oreille,WA,Passenger,1,4,5,9300,9305,0.05
February,28,2017,Douglas,WA,Truck,0,0,0,11387,11387,0
February,28,2017,Moore,NC,Passenger,0,1,1,210,211,0.47
February,28,2017,Okanogan,WA,Passenger,3,15,18,25674,25692,0.07
February,28,2017,Nantucket,MA,Passenger,1,0,1,3,4,25
February,28,2017,Juneau,AK,Passenger,0,1,1,55,56,1.79
February,28,2017,Monroe,NY,Passenger,1,0,1,28,29,3.45
February,28,2017,Saratoga,NY,Passenger,1,1,2,78,80,2.5
February,28,2017,Snohomish,WA,Passenger,1604,824,2428,514072,516500,0.47
February,28,2017,Chelan,WA,Passenger,55,29,84,51755,51839,0.16
February,28,2017,Lewis,WA,Truck,0,0,0,24783,24783,0
February,28,2017,Bexar,TX,Passenger,1,2,3,1157,1160,0.26
February,28,2017,Marin,CA,Passenger,1,0,1,59,60,1.67
February,28,2017,Hamilton,TN,Passenger,1,0,1,26,27,3.7
February,28,2017,Montgomery,MD,Passenger,1,0,1,305,306,0.33
February,28,2017,Garfield,WA,Truck,0,0,0,934,934,0
February,28,2017,Columbia,WA,Truck,0,0,0,1528,1528,0
February,28,2017,Volusia,FL,Passenger,0,1,1,47,48,2.08
February,28,2017,Carroll,NH,Passenger,0,1,1,0,1,100
February,28,2017,Pierce,WA,Truck,0,0,0,138554,138554,0
February,28,2017,Norfolk,VA,Passenger,1,1,2,303,305,0.66
February,28,2017,Snohomish,WA,Truck,1,0,1,122505,122506,0
February,28,2017,Travis,TX,Passenger,0,1,1,198,199,0.5
February,28,2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
February,28,2017,DeKalb,GA,Passenger,1,0,1,84,85,1.18
February,28,2017,Lincoln,WA,Truck,0,0,0,4463,4463,0
February,28,2017,Thurston,WA,Truck,0,0,0,53345,53345,0
February,28,2017,Shoshone,ID,Passenger,0,1,1,82,83,1.2
February,28,2017,Thurston,WA,Passenger,351,309,660,184902,185562,0.36
February,28,2017,Howard,MD,Passenger,0,2,2,88,90,2.22
February,28,2017,Hawaii,HI,Passenger,1,0,1,86,87,1.15
February,28,2017,Tulare,CA,Passenger,1,0,1,200,201,0.5
February,28,2017,Whitman,WA,Truck,0,0,0,8399,8399,0
February,28,2017,Clallam,WA,Truck,0,0,0,21029,21029,0
February,28,2017,Cobb,GA,Passenger,0,1,1,80,81,1.23
February,28,2017,Northampton,PA,Passenger,2,0,2,231,233,0.86
February,28,2017,Alameda,CA,Passenger,3,1,4,389,393,1.02
February,28,2017,Maricopa,AZ,Passenger,3,0,3,1858,1861,0.16
February,28,2017,Skamania,WA,Truck,0,0,0,3889,3889,0
February,28,2017,Yakima,WA,Passenger,36,50,86,159126,159212,0.05
February,28,2017,Cumberland,NC,Passenger,1,0,1,624,625,0.16
February,28,2017,Douglas,OR,Passenger,0,1,1,79,80,1.25
February,28,2017,Deschutes,OR,Passenger,1,0,1,203,204,0.49
February,28,2017,Anne Arundel,MD,Passenger,0,1,1,511,512,0.2
February,28,2017,Stevens,WA,Passenger,6,21,27,31317,31344,0.09
February,28,2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
February,28,2017,Fulton,GA,Passenger,1,1,2,128,130,1.54
February,28,2017,Okaloosa,FL,Passenger,1,0,1,190,191,0.52
February,28,2017,District of Columbia,DC,Passenger,0,3,3,231,234,1.28
February,28,2017,Pacific,WA,Truck,0,0,0,7486,7486,0
February,28,2017,Skamania,WA,Passenger,7,7,14,8543,8557,0.16
February,28,2017,Arlington,VA,Passenger,1,1,2,170,172,1.16
February,28,2017,Shelby,TN,Passenger,0,1,1,108,109,0.92
February,28,2017,Yakima,WA,Truck,0,0,0,57223,57223,0
February,28,2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
February,28,2017,Orleans,LA,Passenger,0,1,1,51,52,1.92
February,28,2017,Contra Costa,CA,Passenger,1,0,1,653,654,0.15
February,28,2017,Spokane,WA,Truck,1,0,1,90241,90242,0
February,28,2017,Duval,FL,Passenger,1,1,2,371,373,0.54
February,28,2017,Marion,OR,Passenger,1,0,1,202,203,0.49
February,28,2017,El Paso,CO,Passenger,1,1,2,844,846,0.24
February,28,2017,Canyon,ID,Passenger,0,1,1,108,109,0.92
February,28,2017,Gwinnett,GA,Passenger,0,1,1,87,88,1.14
February,28,2017,Riverside,CA,Passenger,1,1,2,842,844,0.24
February,28,2017,Garfield,WA,Passenger,0,0,0,1290,1290,0
February,28,2017,Kittitas,WA,Passenger,15,15,30,27062,27092,0.11
February,28,2017,,,Passenger,3,1,4,666,670,0.6
February,28,2017,Pima,AZ,Passenger,0,2,2,441,443,0.45
February,28,2017,Nueces,TX,Passenger,0,1,1,98,99,1.01
February,28,2017,Skagit,WA,Passenger,113,86,199,87262,87461,0.23
February,28,2017,Hamilton,IN,Passenger,1,0,1,67,68,1.47
February,28,2017,Jefferson,WA,Truck,0,0,0,9472,9472,0
February,28,2017,Pierce,WA,Passenger,862,778,1640,526771,528411,0.31
February,28,2017,Portsmouth,VA,Passenger,0,1,1,66,67,1.49
February,28,2017,Ventura,CA,Passenger,0,2,2,376,378,0.53
February,28,2017,Grays Harbor,WA,Truck,0,0,0,19819,19819,0
February,28,2017,Adams,WA,Passenger,2,2,4,12126,12130,0.03
February,28,2017,Kitsap,WA,Truck,1,0,1,52347,52348,0
February,28,2017,Asotin,WA,Passenger,4,3,7,12324,12331,0.06
February,28,2017,Multnomah,OR,Passenger,0,3,3,1150,1153,0.26
February,28,2017,Muscogee,GA,Passenger,0,1,1,256,257,0.39
February,28,2017,San Juan,WA,Truck,0,0,0,5573,5573,0
February,28,2017,Tarrant,TX,Passenger,0,2,2,304,306,0.65
February,28,2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
February,28,2017,Franklin,OH,Passenger,0,1,1,116,117,0.85
February,28,2017,Mason,WA,Passenger,47,63,110,42778,42888,0.26
February,28,2017,Kitsap,WA,Passenger,561,280,841,172111,172952,0.49
February,28,2017,Chelan,WA,Truck,0,0,0,21250,21250,0
February,28,2017,Wahkiakum,WA,Truck,0,0,0,1625,1625,0
January,31,2017,Collier,FL,Passenger,0,1,1,22,23,4.35
January,31,2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
January,31,2017,Monroe,NY,Passenger,1,0,1,30,31,3.23
January,31,2017,Garfield,WA,Truck,0,0,0,941,941,0
January,31,2017,Lane,OR,Passenger,0,1,1,291,292,0.34
January,31,2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
January,31,2017,Skagit,WA,Truck,1,0,1,31404,31405,0
January,31,2017,Anne Arundel,MD,Passenger,0,1,1,515,516,0.19
January,31,2017,Dane,WI,Passenger,1,0,1,192,193,0.52
January,31,2017,Saratoga,NY,Passenger,1,1,2,79,81,2.47
January,31,2017,Adams,WA,Passenger,1,1,2,12175,12177,0.02
January,31,2017,Skamania,WA,Truck,0,0,0,3908,3908,0
January,31,2017,Kitsap,WA,Passenger,556,262,818,172401,173219,0.47
January,31,2017,Los Angeles,CA,Passenger,3,1,4,1470,1474,0.27
January,31,2017,Guilford,NC,Passenger,1,0,1,34,35,2.86
January,31,2017,Cape May,NJ,Passenger,0,1,1,19,20,5
January,31,2017,Thurston,WA,Truck,0,0,0,53340,53340,0
January,31,2017,Yakima,WA,Passenger,36,49,85,159930,160015,0.05
January,31,2017,Pend Oreille,WA,Truck,0,0,0,5595,5595,0
January,31,2017,Brown,WI,Passenger,1,0,1,46,47,2.13
January,31,2017,Kitsap,WA,Truck,1,0,1,52380,52381,0
January,31,2017,Cowlitz,WA,Passenger,51,44,95,69109,69204,0.14
January,31,2017,Grant,WA,Truck,0,0,0,25039,25039,0
January,31,2017,Utah,UT,Passenger,0,1,1,195,196,0.51
January,31,2017,Whitman,WA,Passenger,8,19,27,21936,21963,0.12
January,31,2017,Santa Clara,CA,Passenger,5,3,8,460,468,1.71
January,31,2017,Douglas,WA,Truck,0,0,0,11426,11426,0
January,31,2017,Monterey,CA,Passenger,0,1,1,232,233,0.43
January,31,2017,Durham,NC,Passenger,0,1,1,38,39,2.56
January,31,2017,Columbia,WA,Passenger,0,1,1,2331,2332,0.04
January,31,2017,DeKalb,GA,Passenger,1,0,1,91,92,1.09
January,31,2017,Carroll,NH,Passenger,0,1,1,0,1,100
January,31,2017,Yakima,WA,Truck,0,0,0,57337,57337,0
January,31,2017,Stevens,WA,Truck,0,0,0,18341,18341,0
January,31,2017,Clark,WA,Truck,0,0,0,77522,77522,0
January,31,2017,El Paso,CO,Passenger,1,1,2,884,886,0.23
January,31,2017,Clark,WA,Passenger,673,426,1099,297819,298918,0.37
January,31,2017,Wayne,MI,Passenger,0,2,2,77,79,2.53
