Month Ending,ME Date,Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March,31,2022,Williamson,TX,Passenger,1,2,3,84,87,3.45
March,31,2022,Walla Walla,WA,Truck,0,0,0,14031,14031,0
March,31,2022,Montgomery,MD,Passenger,3,2,5,193,198,2.53
March,31,2022,Norfolk,VA,Passenger,3,3,6,298,304,1.97
March,31,2022,Cowlitz,WA,Truck,0,1,1,28868,28869,0
March,31,2022,Ferry,WA,Truck,0,0,0,3571,3571,0
March,31,2022,San Diego,CA,Passenger,14,8,22,2332,2354,0.93
March,31,2022,Jefferson,NY,Passenger,0,1,1,203,204,0.49
March,31,2022,Wilson,NC,Passenger,1,0,1,0,1,100
March,31,2022,Charleston,SC,Passenger,2,1,3,63,66,4.55
March,31,2022,Goochland,VA,Passenger,3,2,5,151,156,3.21
March,31,2022,Adams,WA,Truck,0,0,0,5488,5488,0
March,31,2022,Thurston,WA,Truck,3,0,3,55747,55750,0.01
March,31,2022,Clark,WA,Passenger,3744,1656,5400,318350,323750,1.67
March,31,2022,Bartow,GA,Passenger,0,1,1,3,4,25
March,31,2022,Harris,TX,Passenger,1,0,1,145,146,0.68
March,31,2022,Oldham,KY,Passenger,0,1,1,4,5,20
March,31,2022,Lake,IL,Passenger,3,0,3,143,146,2.05
March,31,2022,Juneau,AK,Passenger,0,1,1,30,31,3.23
March,31,2022,Mason,WA,Passenger,286,171,457,47633,48090,0.95
March,31,2022,Montgomery,PA,Passenger,2,0,2,22,24,8.33
March,31,2022,Douglas,WA,Truck,0,0,0,12726,12726,0
March,31,2022,DeKalb,GA,Passenger,1,0,1,49,50,2
March,31,2022,Rockingham,NH,Passenger,1,0,1,17,18,5.56
March,31,2022,Queens,NY,Passenger,1,0,1,45,46,2.17
March,31,2022,Whitman,WA,Passenger,79,54,133,22044,22177,0.6
March,31,2022,Richmond,NY,Passenger,1,0,1,6,7,14.29
March,31,2022,Prince William,VA,Passenger,0,1,1,196,197,0.51
March,31,2022,Pierce,WA,Passenger,4629,2234,6863,550172,557035,1.23
March,31,2022,Travis,TX,Passenger,1,0,1,113,114,0.88
March,31,2022,Clallam,WA,Truck,1,0,1,22058,22059,0
March,31,2022,Fairfax,VA,Passenger,3,3,6,614,620,0.97
March,31,2022,Baltimore,MD,Passenger,1,0,1,76,77,1.3
March,31,2022,Wilson,TX,Passenger,0,1,1,2,3,33.33
March,31,2022,Carroll,MD,Passenger,0,1,1,15,16,6.25
March,31,2022,Boulder,CO,Passenger,1,0,1,35,36,2.78
March,31,2022,Danville,VA,Passenger,1,0,1,0,1,100
March,31,2022,Boone,MO,Passenger,0,1,1,9,10,10
March,31,2022,Arlington,VA,Passenger,1,0,1,128,129,0.78
March,31,2022,Riverside,CA,Passenger,7,1,8,467,475,1.68
March,31,2022,Asotin,WA,Truck,0,0,0,6757,6757,0
March,31,2022,St. Mary's,MD,Passenger,1,0,1,198,199,0.5
March,31,2022,Stafford,VA,Passenger,2,1,3,88,91,3.3
March,31,2022,Hamilton,OH,Passenger,1,0,1,30,31,3.23
March,31,2022,Houston,GA,Passenger,1,0,1,38,39,2.56
March,31,2022,Benton,WA,Truck,1,0,1,43613,43614,0
March,31,2022,Allegheny,PA,Passenger,1,1,2,53,55,3.64
