,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
178,April,2017,Garfield,WA,Passenger,0,0,0,1283,1283,0.0,Washington,Washington
180,April,2017,Pend Oreille,WA,Truck,0,0,0,5586,5586,0.0,Washington,Washington
181,April,2017,Benton,WA,Truck,0,0,0,39892,39892,0.0,Washington,Washington
182,April,2017,Pend Oreille,WA,Passenger,1,4,5,9320,9325,0.05,Washington,Washington
183,April,2017,Cowlitz,WA,Passenger,52,48,100,69320,69420,0.14,Washington,Washington
184,April,2017,Kittitas,WA,Passenger,21,17,38,27202,27240,0.14,Washington,Washington
185,April,2017,Snohomish,WA,Truck,1,0,1,122009,122010,0.0,Washington,Washington
188,April,2018,Lincoln,WA,Truck,0,0,0,4532,4532,0.0,Washington,Washington
191,April,2018,Franklin,WA,Truck,0,0,0,18597,18597,0.0,Washington,Washington
194,April,2018,Grays Harbor,WA,Passenger,47,52,99,46287,46386,0.21,Washington,Washington
195,April,2018,Ferry,WA,Truck,0,0,0,3499,3499,0.0,Washington,Washington
197,April,2018,Spokane,WA,Truck,1,0,1,92061,92062,0.0,Washington,Washington
202,April,2018,Yakima,WA,Truck,0,0,0,58216,58216,0.0,Washington,Washington
205,April,2018,Benton,WA,Passenger,178,188,366,130946,131312,0.28,Washington,Washington
206,April,2018,Skamania,WA,Truck,0,0,0,3922,3922,0.0,Washington,Washington
207,April,2018,Thurston,WA,Truck,0,0,0,54065,54065,0.0,Washington,Washington
209,April,2018,Whatcom,WA,Truck,2,0,2,42122,42124,0.0,Washington,Washington
210,April,2018,Columbia,WA,Passenger,2,1,3,2414,2417,0.12,Washington,Washington
212,April,2018,Douglas,WA,Passenger,41,32,73,27438,27511,0.27,Washington,Washington
214,April,2018,Thurston,WA,Passenger,523,444,967,191803,192770,0.5,Washington,Washington
219,April,2018,Cowlitz,WA,Passenger,55,73,128,71356,71484,0.18,Washington,Washington
220,April,2018,San Juan,WA,Passenger,141,53,194,13961,14155,1.37,Washington,Washington
222,April,2018,Garfield,WA,Passenger,1,0,1,1330,1331,0.08,Washington,Washington
223,April,2018,Walla Walla,WA,Truck,0,0,0,13332,13332,0.0,Washington,Washington
225,April,2018,Cowlitz,WA,Truck,0,0,0,28292,28292,0.0,Washington,Washington
226,April,2018,Mason,WA,Passenger,71,87,158,45392,45550,0.35,Washington,Washington
227,April,2018,Pacific,WA,Passenger,14,19,33,15488,15521,0.21,Washington,Washington
236,April,2018,Snohomish,WA,Truck,1,0,1,121256,121257,0.0,Washington,Washington
238,April,2018,Yakima,WA,Passenger,62,84,146,163240,163386,0.09,Washington,Washington
243,April,2018,Skamania,WA,Passenger,12,8,20,8705,8725,0.23,Washington,Washington
244,April,2018,Chelan,WA,Passenger,98,45,143,53398,53541,0.27,Washington,Washington
245,April,2018,Skagit,WA,Passenger,182,155,337,90035,90372,0.37,Washington,Washington
246,April,2018,Wahkiakum,WA,Passenger,1,3,4,2887,2891,0.14,Washington,Washington
251,April,2018,Asotin,WA,Truck,0,0,0,6594,6594,0.0,Washington,Washington
252,April,2018,Grays Harbor,WA,Truck,0,0,0,20130,20130,0.0,Washington,Washington
253,April,2018,Stevens,WA,Truck,0,0,0,18512,18512,0.0,Washington,Washington
254,April,2018,Lewis,WA,Truck,0,0,0,25310,25310,0.0,Washington,Washington
255,April,2018,Snohomish,WA,Passenger,2189,1194,3383,518822,522205,0.65,Washington,Washington
257,April,2018,Columbia,WA,Truck,0,0,0,1523,1523,0.0,Washington,Washington
259,April,2018,Clark,WA,Passenger,943,657,1600,306447,308047,0.52,Washington,Washington
264,April,2018,Adams,WA,Passenger,5,4,9,12523,12532,0.07,Washington,Washington
265,April,2018,Lewis,WA,Passenger,78,51,129,57351,57480,0.22,Washington,Washington
269,April,2018,Pend Oreille,WA,Passenger,4,5,9,9474,9483,0.09,Washington,Washington
271,April,2018,Pierce,WA,Passenger,1154,1091,2245,529160,531405,0.42,Washington,Washington
277,April,2018,Clallam,WA,Passenger,117,105,222,49605,49827,0.45,Washington,Washington
279,April,2018,Douglas,WA,Truck,0,0,0,11882,11882,0.0,Washington,Washington
283,April,2018,Benton,WA,Truck,0,0,0,40852,40852,0.0,Washington,Washington
285,April,2018,Klickitat,WA,Truck,0,0,0,8070,8070,0.0,Washington,Washington
287,April,2018,Whatcom,WA,Passenger,593,269,862,146611,147473,0.58,Washington,Washington
290,April,2018,Walla Walla,WA,Passenger,34,40,74,35454,35528,0.21,Washington,Washington
291,April,2018,Spokane,WA,Passenger,318,288,606,301923,302529,0.2,Washington,Washington
292,April,2018,Adams,WA,Truck,0,0,0,5150,5150,0.0,Washington,Washington
294,April,2018,Pacific,WA,Truck,0,0,0,7596,7596,0.0,Washington,Washington
296,April,2018,Kitsap,WA,Passenger,742,441,1183,177372,178555,0.66,Washington,Washington
297,April,2018,Stevens,WA,Passenger,10,24,34,31585,31619,0.11,Washington,Washington
299,April,2018,San Juan,WA,Truck,0,0,0,5698,5698,0.0,Washington,Washington
302,April,2018,Kittitas,WA,Passenger,40,32,72,28774,28846,0.25,Washington,Washington
306,April,2018,Grant,WA,Passenger,31,42,73,62794,62867,0.12,Washington,Washington
307,April,2018,Kitsap,WA,Truck,1,0,1,52991,52992,0.0,Washington,Washington
308,April,2018,Clallam,WA,Truck,0,0,0,21359,21359,0.0,Washington,Washington
310,April,2018,Whitman,WA,Passenger,20,24,44,22555,22599,0.19,Washington,Washington
311,April,2018,Whitman,WA,Truck,0,0,0,8463,8463,0.0,Washington,Washington
312,April,2018,Island,WA,Truck,0,0,0,20845,20845,0.0,Washington,Washington
314,April,2018,Asotin,WA,Passenger,8,6,14,12640,12654,0.11,Washington,Washington
325,April,2018,Ferry,WA,Passenger,2,3,5,4414,4419,0.11,Washington,Washington
326,April,2018,Garfield,WA,Truck,0,0,0,950,950,0.0,Washington,Washington
329,April,2018,Wahkiakum,WA,Truck,0,0,0,1668,1668,0.0,Washington,Washington
330,April,2018,Pend Oreille,WA,Truck,0,0,0,5654,5654,0.0,Washington,Washington
336,April,2018,Franklin,WA,Passenger,37,59,96,57403,57499,0.17,Washington,Washington
341,April,2018,Mason,WA,Truck,0,0,0,19808,19808,0.0,Washington,Washington
349,April,2018,Klickitat,WA,Passenger,24,29,53,15050,15103,0.35,Washington,Washington
355,April,2018,King,WA,Truck,7,1,8,183356,183364,0.0,Washington,Washington
357,April,2018,King,WA,Passenger,12284,5290,17574,1368427,1386001,1.27,Washington,Washington
359,April,2018,Island,WA,Passenger,184,177,361,62281,62642,0.58,Washington,Washington
360,April,2018,Pierce,WA,Truck,0,0,0,137364,137364,0.0,Washington,Washington
361,April,2018,Jefferson,WA,Truck,0,0,0,9525,9525,0.0,Washington,Washington
363,April,2018,Kittitas,WA,Truck,0,0,0,13993,13993,0.0,Washington,Washington
366,April,2018,Skagit,WA,Truck,1,0,1,31980,31981,0.0,Washington,Washington
367,April,2018,Okanogan,WA,Passenger,8,19,27,25823,25850,0.1,Washington,Washington
369,April,2018,Lincoln,WA,Passenger,2,6,8,7613,7621,0.1,Washington,Washington
371,April,2018,Okanogan,WA,Truck,0,0,0,16350,16350,0.0,Washington,Washington
380,April,2018,Grant,WA,Truck,0,0,0,25855,25855,0.0,Washington,Washington
381,April,2018,Chelan,WA,Truck,0,0,0,21764,21764,0.0,Washington,Washington
385,April,2018,Clark,WA,Truck,0,0,0,78735,78735,0.0,Washington,Washington
387,April,2018,Jefferson,WA,Passenger,134,88,222,24353,24575,0.9,Washington,Washington
388,April,2019,Pierce,WA,Passenger,1692,1486,3178,540913,544091,0.58,Washington,Washington
390,April,2019,Clark,WA,Truck,0,0,0,80105,80105,0.0,Washington,Washington
391,April,2019,Grant,WA,Truck,0,0,0,26430,26430,0.0,Washington,Washington
393,April,2019,Wahkiakum,WA,Truck,0,0,0,1733,1733,0.0,Washington,Washington
396,April,2019,Wahkiakum,WA,Passenger,1,1,2,3014,3016,0.07,Washington,Washington
398,April,2019,Yakima,WA,Passenger,93,103,196,164616,164812,0.12,Washington,Washington
402,April,2019,Whitman,WA,Passenger,29,45,74,22711,22785,0.32,Washington,Washington
403,April,2019,Skamania,WA,Truck,0,0,0,4039,4039,0.0,Washington,Washington
405,April,2019,Benton,WA,Passenger,248,263,511,133307,133818,0.38,Washington,Washington
406,April,2019,Whitman,WA,Truck,0,0,0,8517,8517,0.0,Washington,Washington
410,April,2019,Jefferson,WA,Passenger,187,118,305,24901,25206,1.21,Washington,Washington
411,April,2019,Walla Walla,WA,Passenger,46,57,103,36137,36240,0.28,Washington,Washington
420,April,2019,Chelan,WA,Truck,0,0,0,22173,22173,0.0,Washington,Washington
422,April,2019,Pierce,WA,Truck,0,0,0,139350,139350,0.0,Washington,Washington
423,April,2019,Columbia,WA,Passenger,2,2,4,2441,2445,0.16,Washington,Washington
428,April,2019,Yakima,WA,Truck,0,0,0,58948,58948,0.0,Washington,Washington
429,April,2019,Skamania,WA,Passenger,21,16,37,8713,8750,0.42,Washington,Washington
435,April,2019,Okanogan,WA,Passenger,20,22,42,26020,26062,0.16,Washington,Washington
436,April,2019,Garfield,WA,Truck,0,0,0,958,958,0.0,Washington,Washington
438,April,2019,Clark,WA,Passenger,1414,896,2310,312581,314891,0.73,Washington,Washington
440,April,2019,Cowlitz,WA,Truck,0,0,0,28852,28852,0.0,Washington,Washington
460,April,2019,Asotin,WA,Passenger,12,8,20,12659,12679,0.16,Washington,Washington
462,April,2019,King,WA,Passenger,18277,6871,25148,1384099,1409247,1.78,Washington,Washington
463,April,2019,Whatcom,WA,Truck,2,0,2,42771,42773,0.0,Washington,Washington
464,April,2019,Whatcom,WA,Passenger,823,394,1217,150081,151298,0.8,Washington,Washington
470,April,2019,Douglas,WA,Truck,0,0,0,12176,12176,0.0,Washington,Washington
472,April,2019,Pacific,WA,Truck,0,0,0,7660,7660,0.0,Washington,Washington
473,April,2019,Chelan,WA,Passenger,147,66,213,54294,54507,0.39,Washington,Washington
474,April,2019,Pend Oreille,WA,Truck,0,0,0,5753,5753,0.0,Washington,Washington
476,April,2019,Grant,WA,Passenger,35,60,95,64382,64477,0.15,Washington,Washington
477,April,2019,Klickitat,WA,Passenger,33,33,66,15507,15573,0.42,Washington,Washington
480,April,2019,Walla Walla,WA,Truck,0,0,0,13603,13603,0.0,Washington,Washington
484,April,2019,Kitsap,WA,Passenger,1009,575,1584,180200,181784,0.87,Washington,Washington
490,April,2019,Kittitas,WA,Passenger,71,35,106,29489,29595,0.36,Washington,Washington
491,April,2019,Mason,WA,Truck,0,0,0,20326,20326,0.0,Washington,Washington
492,April,2019,Pend Oreille,WA,Passenger,4,5,9,9505,9514,0.09,Washington,Washington
495,April,2019,Thurston,WA,Passenger,821,613,1434,196770,198204,0.72,Washington,Washington
498,April,2019,Asotin,WA,Truck,0,0,0,6629,6629,0.0,Washington,Washington
500,April,2019,Spokane,WA,Truck,1,0,1,94382,94383,0.0,Washington,Washington
501,April,2019,Clallam,WA,Passenger,160,132,292,50458,50750,0.58,Washington,Washington
503,April,2019,King,WA,Truck,5,1,6,181820,181826,0.0,Washington,Washington
506,April,2019,Stevens,WA,Truck,0,0,0,18683,18683,0.0,Washington,Washington
509,April,2019,Thurston,WA,Truck,0,0,0,55024,55024,0.0,Washington,Washington
510,April,2019,Adams,WA,Passenger,5,6,11,12657,12668,0.09,Washington,Washington
511,April,2019,Ferry,WA,Passenger,4,2,6,4370,4376,0.14,Washington,Washington
521,April,2019,Benton,WA,Truck,0,0,0,41655,41655,0.0,Washington,Washington
522,April,2019,Lincoln,WA,Truck,0,0,0,4700,4700,0.0,Washington,Washington
529,April,2019,San Juan,WA,Truck,0,0,0,5834,5834,0.0,Washington,Washington
533,April,2019,Grays Harbor,WA,Truck,0,0,0,20395,20395,0.0,Washington,Washington
535,April,2019,Klickitat,WA,Truck,0,0,0,8222,8222,0.0,Washington,Washington
539,April,2019,Okanogan,WA,Truck,0,0,0,16478,16478,0.0,Washington,Washington
543,April,2019,Spokane,WA,Passenger,512,407,919,309575,310494,0.3,Washington,Washington
546,April,2019,Cowlitz,WA,Passenger,89,101,190,72747,72937,0.26,Washington,Washington
548,April,2019,Mason,WA,Passenger,117,118,235,46864,47099,0.5,Washington,Washington
549,April,2019,Stevens,WA,Passenger,19,27,46,31638,31684,0.15,Washington,Washington
551,April,2019,Snohomish,WA,Truck,1,0,1,122012,122013,0.0,Washington,Washington
552,April,2019,Grays Harbor,WA,Passenger,70,84,154,47665,47819,0.32,Washington,Washington
554,April,2019,Island,WA,Passenger,310,241,551,63255,63806,0.86,Washington,Washington
555,April,2019,Pacific,WA,Passenger,23,28,51,15922,15973,0.32,Washington,Washington
556,April,2019,Island,WA,Truck,0,0,0,21247,21247,0.0,Washington,Washington
558,April,2019,Lewis,WA,Truck,0,0,0,25826,25826,0.0,Washington,Washington
562,April,2019,Lincoln,WA,Passenger,3,6,9,7756,7765,0.12,Washington,Washington
564,April,2019,Franklin,WA,Truck,0,0,0,19218,19218,0.0,Washington,Washington
565,April,2019,Franklin,WA,Passenger,53,67,120,59469,59589,0.2,Washington,Washington
568,April,2019,San Juan,WA,Passenger,204,69,273,14332,14605,1.87,Washington,Washington
575,April,2019,Douglas,WA,Passenger,55,34,89,27972,28061,0.32,Washington,Washington
579,April,2019,Jefferson,WA,Truck,0,0,0,9652,9652,0.0,Washington,Washington
580,April,2019,Snohomish,WA,Passenger,3292,1539,4831,529161,533992,0.9,Washington,Washington
584,April,2019,Adams,WA,Truck,0,0,0,5104,5104,0.0,Washington,Washington
585,April,2019,Ferry,WA,Truck,0,0,0,3592,3592,0.0,Washington,Washington
586,April,2019,Skagit,WA,Passenger,292,197,489,91537,92026,0.53,Washington,Washington
588,April,2019,Clallam,WA,Truck,0,0,0,21681,21681,0.0,Washington,Washington
591,April,2019,Kitsap,WA,Truck,1,0,1,53874,53875,0.0,Washington,Washington
593,April,2019,Lewis,WA,Passenger,95,91,186,58821,59007,0.32,Washington,Washington
595,April,2019,Kittitas,WA,Truck,0,0,0,14296,14296,0.0,Washington,Washington
597,April,2019,Garfield,WA,Passenger,1,1,2,1298,1300,0.15,Washington,Washington
602,April,2019,Skagit,WA,Truck,1,0,1,32325,32326,0.0,Washington,Washington
605,April,2019,Columbia,WA,Truck,0,0,0,1531,1531,0.0,Washington,Washington
612,April,2020,King,WA,Passenger,24085,7696,31781,1386024,1417805,2.24,Washington,Washington
613,April,2020,Pend Oreille,WA,Truck,0,0,0,5739,5739,0.0,Washington,Washington
615,April,2020,Pierce,WA,Passenger,2347,1682,4029,548871,552900,0.73,Washington,Washington
616,April,2020,Garfield,WA,Truck,0,0,0,968,968,0.0,Washington,Washington
617,April,2020,Cowlitz,WA,Truck,0,0,0,28765,28765,0.0,Washington,Washington
625,April,2020,Adams,WA,Truck,0,0,0,5206,5206,0.0,Washington,Washington
631,April,2020,Yakima,WA,Passenger,129,115,244,165261,165505,0.15,Washington,Washington
635,April,2020,Ferry,WA,Passenger,5,3,8,4331,4339,0.18,Washington,Washington
640,April,2020,Mason,WA,Truck,0,0,0,20531,20531,0.0,Washington,Washington
645,April,2020,Klickitat,WA,Truck,0,0,0,8193,8193,0.0,Washington,Washington
650,April,2020,Whitman,WA,Passenger,44,48,92,22313,22405,0.41,Washington,Washington
652,April,2020,Asotin,WA,Truck,0,0,0,6617,6617,0.0,Washington,Washington
653,April,2020,Columbia,WA,Truck,0,0,0,1524,1524,0.0,Washington,Washington
656,April,2020,Kitsap,WA,Truck,1,0,1,53907,53908,0.0,Washington,Washington
658,April,2020,Wahkiakum,WA,Passenger,6,5,11,2973,2984,0.37,Washington,Washington
663,April,2020,Benton,WA,Passenger,348,321,669,134556,135225,0.49,Washington,Washington
667,April,2020,Spokane,WA,Passenger,711,473,1184,316298,317482,0.37,Washington,Washington
671,April,2020,Chelan,WA,Truck,0,0,0,22460,22460,0.0,Washington,Washington
674,April,2020,Clallam,WA,Passenger,219,166,385,50341,50726,0.76,Washington,Washington
677,April,2020,Clark,WA,Passenger,1992,1056,3048,318746,321794,0.95,Washington,Washington
679,April,2020,Cowlitz,WA,Passenger,136,115,251,72718,72969,0.34,Washington,Washington
680,April,2020,Skagit,WA,Truck,1,0,1,32387,32388,0.0,Washington,Washington
683,April,2020,Jefferson,WA,Passenger,234,142,376,24908,25284,1.49,Washington,Washington
687,April,2020,Skamania,WA,Passenger,29,17,46,8615,8661,0.53,Washington,Washington
688,April,2020,Stevens,WA,Truck,0,0,0,18611,18611,0.0,Washington,Washington
691,April,2020,Spokane,WA,Truck,1,0,1,97398,97399,0.0,Washington,Washington
692,April,2020,King,WA,Truck,5,1,6,181518,181524,0.0,Washington,Washington
695,April,2020,Garfield,WA,Passenger,0,1,1,1341,1342,0.07,Washington,Washington
698,April,2020,Pierce,WA,Truck,0,0,0,141140,141140,0.0,Washington,Washington
699,April,2020,Ferry,WA,Truck,0,0,0,3543,3543,0.0,Washington,Washington
705,April,2020,Walla Walla,WA,Passenger,69,63,132,36000,36132,0.37,Washington,Washington
709,April,2020,Thurston,WA,Truck,0,0,0,55499,55499,0.0,Washington,Washington
710,April,2020,San Juan,WA,Truck,0,0,0,5898,5898,0.0,Washington,Washington
713,April,2020,Grant,WA,Truck,0,0,0,26995,26995,0.0,Washington,Washington
715,April,2020,Okanogan,WA,Passenger,34,31,65,25891,25956,0.25,Washington,Washington
717,April,2020,Stevens,WA,Passenger,33,33,66,30969,31035,0.21,Washington,Washington
721,April,2020,Kittitas,WA,Passenger,101,49,150,29857,30007,0.5,Washington,Washington
726,April,2020,Island,WA,Truck,1,0,1,21149,21150,0.0,Washington,Washington
728,April,2020,Okanogan,WA,Truck,0,0,0,16384,16384,0.0,Washington,Washington
730,April,2020,Mason,WA,Passenger,155,135,290,47212,47502,0.61,Washington,Washington
733,April,2020,Pacific,WA,Passenger,30,34,64,15837,15901,0.4,Washington,Washington
744,April,2020,Chelan,WA,Passenger,224,80,304,54232,54536,0.56,Washington,Washington
747,April,2020,Benton,WA,Truck,0,0,0,42485,42485,0.0,Washington,Washington
750,April,2020,Lewis,WA,Passenger,99,106,205,58652,58857,0.35,Washington,Washington
751,April,2020,Pacific,WA,Truck,0,0,0,7665,7665,0.0,Washington,Washington
755,April,2020,Clallam,WA,Truck,1,0,1,21696,21697,0.0,Washington,Washington
759,April,2020,Island,WA,Passenger,405,270,675,62863,63538,1.06,Washington,Washington
760,April,2020,Franklin,WA,Truck,0,0,0,19844,19844,0.0,Washington,Washington
765,April,2020,Wahkiakum,WA,Truck,0,0,0,1760,1760,0.0,Washington,Washington
769,April,2020,Skamania,WA,Truck,0,0,0,4054,4054,0.0,Washington,Washington
770,April,2020,Grays Harbor,WA,Truck,0,0,0,20728,20728,0.0,Washington,Washington
776,April,2020,Whitman,WA,Truck,0,0,0,8532,8532,0.0,Washington,Washington
777,April,2020,Grant,WA,Passenger,59,71,130,65268,65398,0.2,Washington,Washington
784,April,2020,Thurston,WA,Passenger,1141,730,1871,197497,199368,0.94,Washington,Washington
785,April,2020,Lincoln,WA,Truck,0,0,0,4627,4627,0.0,Washington,Washington
787,April,2020,Kitsap,WA,Passenger,1312,676,1988,180568,182556,1.09,Washington,Washington
789,April,2020,Walla Walla,WA,Truck,0,0,0,13622,13622,0.0,Washington,Washington
790,April,2020,Douglas,WA,Truck,0,0,0,12271,12271,0.0,Washington,Washington
792,April,2020,Snohomish,WA,Truck,0,0,0,123316,123316,0.0,Washington,Washington
793,April,2020,Columbia,WA,Passenger,3,3,6,2407,2413,0.25,Washington,Washington
797,April,2020,Pend Oreille,WA,Passenger,8,6,14,9257,9271,0.15,Washington,Washington
798,April,2020,Franklin,WA,Passenger,58,76,134,60733,60867,0.22,Washington,Washington
803,April,2020,Asotin,WA,Passenger,16,12,28,12444,12472,0.22,Washington,Washington
