,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity
13890,November,2017,Anne Arundel,MD,Passenger,0,1,1,488,489,0.2,Furthest
13891,November,2017,Pima,AZ,Passenger,1,1,2,412,414,0.48,Nearest
13892,November,2017,Clallam,WA,Passenger,98,86,184,48866,49050,0.38,Washington
13893,November,2017,San Diego,CA,Passenger,5,1,6,2584,2590,0.23,Nearest
13894,November,2017,Mason,WA,Passenger,63,72,135,44603,44738,0.3,Washington
13895,November,2017,Walla Walla,WA,Passenger,29,31,60,35239,35299,0.17,Washington
13896,November,2017,Frederick,MD,Passenger,0,1,1,87,88,1.14,Furthest
13897,November,2017,Wahkiakum,WA,Passenger,0,2,2,2868,2870,0.07,Washington
13898,November,2017,Columbia,WA,Passenger,2,1,3,2391,2394,0.13,Washington
13899,November,2017,Ferry,WA,Truck,0,0,0,3544,3544,0.0,Washington
13900,November,2017,Polk,FL,Passenger,1,0,1,62,63,1.59,Furthest
13901,November,2017,San Mateo,CA,Passenger,0,1,1,147,148,0.68,Nearest
13902,November,2017,Albemarle,VA,Passenger,0,1,1,32,33,3.03,Furthest
13903,November,2017,Orleans,LA,Passenger,0,1,1,46,47,2.13,Mid-Distance
13904,November,2017,Los Angeles,CA,Passenger,5,2,7,1212,1219,0.57,Nearest
13905,November,2017,Cowlitz,WA,Truck,0,0,0,28144,28144,0.0,Washington
13906,November,2017,Virginia Beach,VA,Passenger,2,1,3,661,664,0.45,Furthest
13907,November,2017,Cowlitz,WA,Passenger,54,65,119,70592,70711,0.17,Washington
13908,November,2017,Skagit,WA,Passenger,159,131,290,89317,89607,0.32,Washington
13909,November,2017,Dakota,MN,Passenger,0,2,2,37,39,5.13,Mid-Distance
13910,November,2017,Ventura,CA,Passenger,0,1,1,327,328,0.3,Nearest
13911,November,2017,Dale,AL,Passenger,0,1,1,63,64,1.56,Furthest
13912,November,2017,Snohomish,WA,Passenger,1987,1019,3006,516018,519024,0.58,Washington
13913,November,2017,Pierce,WA,Passenger,1050,942,1992,526013,528005,0.38,Washington
13914,November,2017,Utah,UT,Passenger,0,1,1,136,137,0.73,Nearest
13915,November,2017,Lane,OR,Passenger,0,1,1,207,208,0.48,Nearest
13916,November,2017,Morris,NJ,Passenger,1,0,1,22,23,4.35,Furthest
13917,November,2017,Sedgwick,KS,Passenger,0,1,1,105,106,0.94,Mid-Distance
13918,November,2017,Chelan,WA,Truck,0,0,0,21519,21519,0.0,Washington
13919,November,2017,Dallas,TX,Passenger,0,1,1,181,182,0.55,Mid-Distance
13920,November,2017,Stevens,WA,Passenger,10,21,31,31554,31585,0.1,Washington
13921,November,2017,King,WA,Truck,7,1,8,185511,185519,0.0,Washington
13922,November,2017,Nassau,NY,Passenger,1,1,2,38,40,5.0,Furthest
13923,November,2017,Grays Harbor,WA,Passenger,42,41,83,45582,45665,0.18,Washington
13924,November,2017,San Juan,WA,Truck,0,0,0,5574,5574,0.0,Washington
13925,November,2017,Juneau,AK,Passenger,0,1,1,45,46,2.17,Nearest
13926,November,2017,Latah,ID,Passenger,0,1,1,77,78,1.28,Nearest
13927,November,2017,Island,WA,Passenger,147,156,303,61346,61649,0.49,Washington
13928,November,2017,Manassas,VA,Passenger,0,1,1,9,10,10.0,Furthest
13929,November,2017,Marin,CA,Passenger,1,0,1,57,58,1.72,Nearest
13930,November,2017,Contra Costa,CA,Passenger,0,1,1,470,471,0.21,Nearest
13931,November,2017,Montgomery,MD,Passenger,1,0,1,300,301,0.33,Furthest
13932,November,2017,Duval,FL,Passenger,1,1,2,365,367,0.54,Furthest
13933,November,2017,Garfield,WA,Passenger,1,0,1,1313,1314,0.08,Washington
13935,November,2017,Travis,TX,Passenger,0,1,1,186,187,0.53,Mid-Distance
13936,November,2017,Benton,WA,Passenger,165,160,325,129883,130208,0.25,Washington
13937,November,2017,Lincoln,WA,Passenger,2,5,7,7552,7559,0.09,Washington
13938,November,2017,Allegheny,PA,Passenger,1,0,1,91,92,1.09,Furthest
13939,November,2017,Canyon,ID,Passenger,0,1,1,91,92,1.09,Nearest
13940,November,2017,Tarrant,TX,Passenger,1,0,1,230,231,0.43,Mid-Distance
13941,November,2017,Whitman,WA,Passenger,16,19,35,22387,22422,0.16,Washington
13942,November,2017,Bexar,TX,Passenger,1,1,2,825,827,0.24,Mid-Distance
13943,November,2017,Lewis,WA,Passenger,53,39,92,56418,56510,0.16,Washington
13944,November,2017,Nueces,TX,Passenger,1,1,2,92,94,2.13,Mid-Distance
13945,November,2017,Charles,MD,Passenger,0,1,1,84,85,1.18,Furthest
13946,November,2017,Manatee,FL,Passenger,1,0,1,40,41,2.44,Furthest
13947,November,2017,Madison,ID,Passenger,1,0,1,39,40,2.5,Nearest
13948,November,2017,Lincoln,WA,Truck,0,0,0,4484,4484,0.0,Washington
13949,November,2017,Lee,AL,Passenger,1,0,1,35,36,2.78,Furthest
