,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric
0,April,2017,Pinal,AZ,Passenger,2,0,2,254,256,0.78
1,April,2017,Island,WA,Passenger,108,128,236,59768,60004,0.39
2,April,2017,Clark,WA,Truck,0,0,0,77561,77561,0.0
3,April,2017,Allegheny,PA,Passenger,1,0,1,93,94,1.06
4,April,2017,Shelby,TN,Passenger,0,1,1,109,110,0.91
5,April,2017,Dale,AL,Passenger,0,1,1,65,66,1.52
6,April,2017,Jefferson,WA,Passenger,98,56,154,23744,23898,0.64
8,April,2017,Harnett,NC,Passenger,1,0,1,257,258,0.39
9,April,2017,Salt Lake,UT,Passenger,0,1,1,289,290,0.34
10,April,2017,Yakima,WA,Truck,0,0,0,57219,57219,0.0
11,April,2017,Montgomery,PA,Passenger,1,0,1,41,42,2.38
12,April,2017,Skamania,WA,Truck,0,0,0,3874,3874,0.0
13,April,2017,Whitman,WA,Passenger,9,19,28,21964,21992,0.13
14,April,2017,Utah,UT,Passenger,0,1,1,164,165,0.61
15,April,2017,Clark,WA,Passenger,755,471,1226,298474,299700,0.41
16,April,2017,Adams,WA,Passenger,2,3,5,12128,12133,0.04
17,April,2017,Franklin,WA,Passenger,27,47,74,55348,55422,0.13
18,April,2017,Ferry,WA,Truck,0,0,0,3549,3549,0.0
19,April,2017,San Juan,WA,Truck,0,0,0,5551,5551,0.0
20,April,2017,Los Angeles,CA,Passenger,3,1,4,1345,1349,0.3
21,April,2017,Lee,AL,Passenger,1,0,1,35,36,2.78
22,April,2017,Klickitat,WA,Passenger,22,23,45,14768,14813,0.3
23,April,2017,Clark,NV,Passenger,1,3,4,857,861,0.46
24,April,2017,Tarrant,TX,Passenger,0,2,2,273,275,0.73
25,April,2017,Skagit,WA,Truck,1,0,1,31395,31396,0.0
26,April,2017,Monterey,CA,Passenger,0,1,1,210,211,0.47
27,April,2017,San Juan,WA,Passenger,98,35,133,13479,13612,0.98
28,April,2017,Douglas,OR,Passenger,0,1,1,74,75,1.33
29,April,2017,Montgomery,TN,Passenger,1,0,1,293,294,0.34
30,April,2017,Adams,WA,Truck,0,0,0,5072,5072,0.0
31,April,2017,Lewis,WA,Passenger,46,33,79,55192,55271,0.14
32,April,2017,Lane,OR,Passenger,0,1,1,247,248,0.4
33,April,2017,Whatcom,WA,Truck,2,0,2,41449,41451,0.0
34,April,2017,Lincoln,WA,Truck,0,0,0,4464,4464,0.0
