,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
113,April,2017,Orange,CA,Passenger,2,1,3,646,649,0.46,Nearest,California
116,April,2017,Madison,ID,Passenger,1,0,1,41,42,2.38,Nearest,Idaho
119,April,2017,Lewis,NY,Passenger,0,1,1,10,11,9.09,Furthest,New York
120,April,2017,Maui,HI,Passenger,1,0,1,72,73,1.37,Nearest,Hawaii
121,April,2017,Santa Rosa,FL,Passenger,1,0,1,109,110,0.91,Furthest,Florida
124,April,2017,Maricopa,AZ,Passenger,2,0,2,1800,1802,0.11,Nearest,Arizona
126,April,2017,Nantucket,MA,Passenger,1,0,1,3,4,25.0,Furthest,Massachusetts
128,April,2017,Arlington,VA,Passenger,1,1,2,166,168,1.19,Furthest,Virginia
129,April,2017,New London,CT,Passenger,1,1,2,257,259,0.77,Furthest,Connecticut
131,April,2017,Pima,AZ,Passenger,0,2,2,442,444,0.45,Nearest,Arizona
132,April,2017,New Haven,CT,Passenger,0,1,1,60,61,1.64,Furthest,Connecticut
133,April,2017,Norfolk,VA,Passenger,1,1,2,301,303,0.66,Furthest,Virginia
134,April,2017,DeKalb,GA,Passenger,1,0,1,84,85,1.18,Furthest,Georgia
135,April,2017,Hidalgo,TX,Passenger,0,1,1,98,99,1.01,Mid-Distance,Texas
137,April,2017,Orange,FL,Passenger,1,1,2,149,151,1.32,Furthest,Florida
139,April,2017,Sumter,FL,Passenger,0,1,1,10,11,9.09,Furthest,Florida
141,April,2017,Jefferson,NY,Passenger,1,1,2,255,257,0.78,Furthest,New York
144,April,2017,Cape May,NJ,Passenger,0,1,1,18,19,5.26,Furthest,New Jersey
145,April,2017,Guilford,NC,Passenger,1,0,1,31,32,3.12,Furthest,North Carolina
147,April,2017,San Mateo,CA,Passenger,0,1,1,158,159,0.63,Nearest,California
148,April,2017,District of Columbia,DC,Passenger,0,3,3,225,228,1.32,Furthest,District of Columbia
153,April,2017,Riverside,CA,Passenger,1,1,2,829,831,0.24,Nearest,California
154,April,2017,Dallas,TX,Passenger,0,1,1,196,197,0.51,Mid-Distance,Texas
155,April,2017,Alameda,CA,Passenger,2,1,3,379,382,0.79,Nearest,California
156,April,2017,Portsmouth,VA,Passenger,0,1,1,68,69,1.45,Furthest,Virginia
157,April,2017,Jackson,MO,Passenger,1,0,1,68,69,1.45,Furthest,Missouri
160,April,2017,Dakota,MN,Passenger,0,1,1,40,41,2.44,Mid-Distance,Minnesota
163,April,2017,Honolulu,HI,Passenger,4,2,6,604,610,0.98,Nearest,Hawaii
164,April,2017,Montgomery,MD,Passenger,1,0,1,308,309,0.32,Furthest,Maryland
167,April,2017,Polk,FL,Passenger,1,0,1,67,68,1.47,Furthest,Florida
168,April,2017,Kent,MI,Passenger,0,1,1,37,38,2.63,Furthest,Michigan
169,April,2017,Hawaii,HI,Passenger,1,0,1,84,85,1.18,Nearest,Hawaii
170,April,2017,Cascade,MT,Passenger,0,1,1,61,62,1.61,Nearest,Montana
171,April,2017,Northampton,PA,Passenger,2,0,2,192,194,1.03,Furthest,Pennsylvania
174,April,2017,Dane,WI,Passenger,1,0,1,138,139,0.72,Mid-Distance,Wisconsin
176,April,2017,Carroll,NH,Passenger,0,1,1,0,1,100.0,Furthest,New Hampshire
177,April,2017,Monroe,NY,Passenger,1,0,1,27,28,3.57,Furthest,New York
179,April,2017,Palm Beach,FL,Passenger,0,1,1,100,101,0.99,Furthest,Florida
186,April,2017,Howard,MD,Passenger,0,2,2,90,92,2.17,Furthest,Maryland
187,April,2018,Howard,MD,Passenger,0,1,1,85,86,1.16,Furthest,Maryland
189,April,2018,Norfolk,VA,Passenger,1,2,3,326,329,0.91,Furthest,Virginia
190,April,2018,Santa Clara,CA,Passenger,6,1,7,380,387,1.81,Nearest,California
192,April,2018,Los Angeles,CA,Passenger,6,4,10,1172,1182,0.85,Nearest,California
193,April,2018,Charles,MD,Passenger,0,1,1,82,83,1.2,Furthest,Maryland
196,April,2018,Riverside,CA,Passenger,2,2,4,706,710,0.56,Nearest,California
198,April,2018,Gwinnett,GA,Passenger,0,1,1,80,81,1.23,Furthest,Georgia
199,April,2018,Latah,ID,Passenger,0,1,1,78,79,1.27,Nearest,Idaho
200,April,2018,Montgomery,TX,Passenger,1,0,1,63,64,1.56,Mid-Distance,Texas
201,April,2018,Lee,FL,Passenger,1,0,1,58,59,1.69,Furthest,Florida
203,April,2018,Flathead,MT,Passenger,1,0,1,51,52,1.92,Nearest,Montana
204,April,2018,Monterey,CA,Passenger,0,1,1,188,189,0.53,Nearest,California
208,April,2018,Tulsa,OK,Passenger,0,1,1,47,48,2.08,Mid-Distance,Oklahoma
211,April,2018,Montgomery,TN,Passenger,1,0,1,270,271,0.37,Furthest,Tennessee
213,April,2018,Franklin,MA,Passenger,0,1,1,2,3,33.33,Furthest,Massachusetts
215,April,2018,Essex,NJ,Passenger,1,0,1,11,12,8.33,Furthest,New Jersey
216,April,2018,Fairfax,VA,Passenger,2,2,4,832,836,0.48,Furthest,Virginia
217,April,2018,Kent,MI,Passenger,0,1,1,33,34,2.94,Furthest,Michigan
218,April,2018,Volusia,FL,Passenger,0,1,1,33,34,2.94,Furthest,Florida
221,April,2018,Richland,SC,Passenger,0,1,1,173,174,0.57,Furthest,South Carolina
224,April,2018,Beaufort,SC,Passenger,1,0,1,38,39,2.56,Furthest,South Carolina
228,April,2018,Santa Rosa,FL,Passenger,1,0,1,100,101,0.99,Furthest,Florida
229,April,2018,Nantucket,MA,Passenger,1,0,1,4,5,20.0,Furthest,Massachusetts
230,April,2018,Prince George,VA,Passenger,0,1,1,73,74,1.35,Furthest,Virginia
231,April,2018,Northampton,PA,Passenger,0,1,1,64,65,1.54,Furthest,Pennsylvania
232,April,2018,Maricopa,AZ,Passenger,2,1,3,1572,1575,0.19,Nearest,Arizona
233,April,2018,Okaloosa,FL,Passenger,1,0,1,172,173,0.58,Furthest,Florida
234,April,2018,Pinal,AZ,Passenger,2,0,2,207,209,0.96,Nearest,Arizona
235,April,2018,Ventura,CA,Passenger,0,1,1,319,320,0.31,Nearest,California
237,April,2018,Lane,OR,Passenger,0,1,1,190,191,0.52,Nearest,Oregon
239,April,2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17,Nearest,Idaho
240,April,2018,Prince William,VA,Passenger,0,4,4,265,269,1.49,Furthest,Virginia
241,April,2018,New Haven,CT,Passenger,0,1,1,50,51,1.96,Furthest,Connecticut
242,April,2018,Anne Arundel,MD,Passenger,0,2,2,448,450,0.44,Furthest,Maryland
247,April,2018,Cape May,NJ,Passenger,0,1,1,21,22,4.55,Furthest,New Jersey
248,April,2018,Santa Fe,NM,Passenger,0,1,1,41,42,2.38,Mid-Distance,New Mexico
249,April,2018,Allegheny,PA,Passenger,1,0,1,76,77,1.3,Furthest,Pennsylvania
250,April,2018,Montgomery,MD,Passenger,1,0,1,293,294,0.34,Furthest,Maryland
256,April,2018,Kootenai,ID,Passenger,0,1,1,224,225,0.44,Nearest,Idaho
258,April,2018,Dallas,TX,Passenger,0,1,1,188,189,0.53,Mid-Distance,Texas
260,April,2018,Lee,AL,Passenger,1,0,1,32,33,3.03,Furthest,Alabama
261,April,2018,Utah,UT,Passenger,0,1,1,136,137,0.73,Nearest,Utah
262,April,2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.5,Furthest,Michigan
263,April,2018,Marion,IN,Passenger,1,0,1,116,117,0.85,Furthest,Indiana
266,April,2018,Moore,NC,Passenger,0,1,1,195,196,0.51,Furthest,North Carolina
267,April,2018,Canyon,ID,Passenger,0,1,1,87,88,1.14,Nearest,Idaho
268,April,2018,Sacramento,CA,Passenger,1,0,1,298,299,0.33,Nearest,California
270,April,2018,Jefferson,NY,Passenger,1,0,1,220,221,0.45,Furthest,New York
272,April,2018,Shelby,TN,Passenger,0,1,1,101,102,0.98,Furthest,Tennessee
273,April,2018,Monroe,IL,Passenger,1,0,1,5,6,16.67,Mid-Distance,Illinois
274,April,2018,Travis,TX,Passenger,0,1,1,189,190,0.53,Mid-Distance,Texas
275,April,2018,Jefferson,CO,Passenger,0,1,1,72,73,1.37,Mid-Distance,Colorado
276,April,2018,El Paso,TX,Passenger,1,0,1,518,519,0.19,Mid-Distance,Texas
278,April,2018,San Mateo,CA,Passenger,1,1,2,133,135,1.48,Nearest,California
280,April,2018,Williamson,TX,Passenger,0,1,1,157,158,0.63,Mid-Distance,Texas
281,April,2018,Richmond,GA,Passenger,0,1,1,91,92,1.09,Furthest,Georgia
282,April,2018,Morris,NJ,Passenger,1,0,1,18,19,5.26,Furthest,New Jersey
284,April,2018,Fulton,GA,Passenger,1,1,2,100,102,1.96,Furthest,Georgia
286,April,2018,Duval,FL,Passenger,1,2,3,377,380,0.79,Furthest,Florida
288,April,2018,Hawaii,HI,Passenger,1,0,1,75,76,1.32,Nearest,Hawaii
289,April,2018,Dakota,MN,Passenger,0,2,2,37,39,5.13,Mid-Distance,Minnesota
293,April,2018,Hardin,KY,Passenger,0,1,1,118,119,0.84,Furthest,Kentucky
