,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
1092,April,2021,Morris,NJ,Passenger,1,0,1,16,17,5.88,Furthest,New Jersey
1093,April,2021,Arlington,VA,Passenger,0,1,1,138,139,0.72,Furthest,Virginia
1094,April,2021,Washington,OR,Passenger,1,0,1,394,395,0.25,Nearest,Oregon
1096,April,2021,Allen,IN,Passenger,1,0,1,15,16,6.25,Furthest,Indiana
1097,April,2021,Ulster,NY,Passenger,1,0,1,7,8,12.5,Furthest,New York
1098,April,2021,Charles,MD,Passenger,1,1,2,69,71,2.82,Furthest,Maryland
1099,April,2022,Okaloosa,FL,Passenger,0,1,1,99,100,1.0,Furthest,Florida
1101,April,2022,Moore,NC,Passenger,0,1,1,117,118,0.85,Furthest,North Carolina
1102,April,2022,Prince George's,MD,Passenger,2,1,3,124,127,2.36,Furthest,Maryland
1103,April,2022,Anchorage,AK,Passenger,1,0,1,123,124,0.81,Nearest,Alaska
1104,April,2022,Harrison,MS,Passenger,2,0,2,44,46,4.35,Mid-Distance,Mississippi
1106,April,2022,Sedgwick,KS,Passenger,1,1,2,78,80,2.5,Mid-Distance,Kansas
1107,April,2022,Clackamas,OR,Passenger,2,0,2,146,148,1.35,Nearest,Oregon
1108,April,2022,Richmond,GA,Passenger,0,1,1,67,68,1.47,Furthest,Georgia
1109,April,2022,New London,CT,Passenger,2,5,7,197,204,3.43,Furthest,Connecticut
1110,April,2022,Montgomery,AL,Passenger,0,1,1,33,34,2.94,Furthest,Alabama
1111,April,2022,Wood,OH,Passenger,0,1,1,4,5,20.0,Furthest,Ohio
1112,April,2022,Wichita,TX,Passenger,1,0,1,39,40,2.5,Mid-Distance,Texas
1113,April,2022,Clark,NV,Passenger,4,2,6,529,535,1.12,Nearest,Nevada
1114,April,2022,El Paso,TX,Passenger,2,0,2,338,340,0.59,Mid-Distance,Texas
1115,April,2022,Lincoln,OR,Passenger,0,1,1,30,31,3.23,Nearest,Oregon
1116,April,2022,Plaquemines,LA,Passenger,1,1,2,16,18,11.11,Mid-Distance,Louisiana
1117,April,2022,Marin,CA,Passenger,0,1,1,30,31,3.23,Nearest,California
1118,April,2022,Rockingham,NH,Passenger,1,0,1,16,17,5.88,Furthest,New Hampshire
1119,April,2022,Fresno,CA,Passenger,1,0,1,142,143,0.7,Nearest,California
1120,April,2022,Alameda,CA,Passenger,4,0,4,192,196,2.04,Nearest,California
1121,April,2022,Goochland,VA,Passenger,3,2,5,138,143,3.5,Furthest,Virginia
1122,April,2022,Hudson,NJ,Passenger,2,0,2,34,36,5.56,Furthest,New Jersey
1123,April,2022,Denton,TX,Passenger,1,0,1,63,64,1.56,Mid-Distance,Texas
1125,April,2022,Camden,NJ,Passenger,0,1,1,13,14,7.14,Furthest,New Jersey
1126,April,2022,Leavenworth,KS,Passenger,0,1,1,102,103,0.97,Mid-Distance,Kansas
1127,April,2022,St. Mary's,MD,Passenger,1,0,1,192,193,0.52,Furthest,Maryland
1128,April,2022,Essex,NJ,Passenger,2,0,2,9,11,18.18,Furthest,New Jersey
1129,April,2022,Duval,FL,Passenger,0,2,2,282,284,0.7,Furthest,Florida
1133,April,2022,Richmond,NY,Passenger,1,0,1,6,7,14.29,Furthest,New York
1135,April,2022,Tarrant,TX,Passenger,1,0,1,118,119,0.84,Mid-Distance,Texas
1136,April,2022,Santa Cruz,CA,Passenger,1,0,1,24,25,4.0,Nearest,California
1137,April,2022,Manassas,VA,Passenger,0,1,1,7,8,12.5,Furthest,Virginia
1138,April,2022,Houston,GA,Passenger,1,0,1,37,38,2.63,Furthest,Georgia
1139,April,2022,Bexar,TX,Passenger,4,4,8,442,450,1.78,Mid-Distance,Texas
1140,April,2022,Pennington,SD,Passenger,2,0,2,28,30,6.67,Mid-Distance,South Dakota
1141,April,2022,Rock Island,IL,Passenger,0,1,1,15,16,6.25,Mid-Distance,Illinois
1143,April,2022,Philadelphia,PA,Passenger,1,0,1,35,36,2.78,Furthest,Pennsylvania
1144,April,2022,Nassau,NY,Passenger,2,0,2,26,28,7.14,Furthest,New York
1145,April,2022,Burlington,NJ,Passenger,0,2,2,109,111,1.8,Furthest,New Jersey
1148,April,2022,Cumberland,NC,Passenger,1,2,3,369,372,0.81,Furthest,North Carolina
1149,April,2022,Chesapeake,VA,Passenger,2,3,5,346,351,1.42,Furthest,Virginia
1150,April,2022,Adams,CO,Passenger,1,0,1,37,38,2.63,Mid-Distance,Colorado
1151,April,2022,Fairbanks North Star,AK,Passenger,0,1,1,77,78,1.28,Nearest,Alaska
1153,April,2022,Pinellas,FL,Passenger,0,1,1,77,78,1.28,Furthest,Florida
1154,April,2022,Orange,FL,Passenger,1,0,1,94,95,1.05,Furthest,Florida
1155,April,2022,Ventura,CA,Passenger,2,1,3,231,234,1.28,Nearest,California
1156,April,2022,Sonoma,CA,Passenger,0,1,1,72,73,1.37,Nearest,California
1157,April,2022,Honolulu,HI,Passenger,5,4,9,331,340,2.65,Nearest,Hawaii
1159,April,2022,Rogers,OK,Passenger,1,0,1,2,3,33.33,Mid-Distance,Oklahoma
1160,April,2022,Randolph,NC,Passenger,1,0,1,5,6,16.67,Furthest,North Carolina
1164,April,2022,Miami-Dade,FL,Passenger,1,0,1,84,85,1.18,Furthest,Florida
1166,April,2022,San Diego,CA,Passenger,13,8,21,2307,2328,0.9,Nearest,California
1169,April,2022,Las Animas,CO,Passenger,1,0,1,1,2,50.0,Mid-Distance,Colorado
1172,April,2022,Arlington,VA,Passenger,1,0,1,129,130,0.77,Furthest,Virginia
1174,April,2022,San Luis Obispo,CA,Passenger,1,0,1,55,56,1.79,Nearest,California
1176,April,2022,Wilson,TX,Passenger,0,1,1,2,3,33.33,Mid-Distance,Texas
1178,April,2022,Queens,NY,Passenger,1,0,1,41,42,2.38,Furthest,New York
1180,April,2022,DuPage,IL,Passenger,1,0,1,45,46,2.17,Mid-Distance,Illinois
1181,April,2022,Arapahoe,CO,Passenger,0,1,1,80,81,1.23,Mid-Distance,Colorado
1183,April,2022,Saratoga,NY,Passenger,1,0,1,38,39,2.56,Furthest,New York
1184,April,2022,Elmore,ID,Passenger,1,0,1,12,13,7.69,Nearest,Idaho
1185,April,2022,Baltimore,MD,Passenger,1,0,1,73,74,1.35,Furthest,Maryland
1186,April,2022,Lane,OR,Passenger,0,1,1,98,99,1.01,Nearest,Oregon
1187,April,2022,Anne Arundel,MD,Passenger,4,3,7,355,362,1.93,Furthest,Maryland
1189,April,2022,Platte,MO,Passenger,1,0,1,20,21,4.76,Furthest,Missouri
1190,April,2022,Solano,CA,Passenger,1,0,1,160,161,0.62,Nearest,California
1191,April,2022,Middlesex,MA,Passenger,1,1,2,80,82,2.44,Furthest,Massachusetts
1193,April,2022,Boulder,CO,Passenger,1,0,1,34,35,2.86,Mid-Distance,Colorado
1194,April,2022,Sarpy,NE,Passenger,1,0,1,51,52,1.92,Mid-Distance,Nebraska
1195,April,2022,Hidalgo,TX,Passenger,0,1,1,52,53,1.89,Mid-Distance,Texas
1196,April,2022,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.0,Mid-Distance,Puerto Rico
1197,April,2022,Virginia Beach,VA,Passenger,2,0,2,523,525,0.38,Furthest,Virginia
1199,April,2022,St. Clair,IL,Passenger,2,0,2,121,123,1.63,Mid-Distance,Illinois
1200,April,2022,Frederick,MD,Passenger,1,1,2,66,68,2.94,Furthest,Maryland
1202,April,2022,Loudoun,VA,Passenger,2,1,3,64,67,4.48,Furthest,Virginia
1206,April,2022,San Joaquin,CA,Passenger,1,1,2,89,91,2.2,Nearest,California
1208,April,2022,Carroll,NH,Passenger,0,1,1,5,6,16.67,Furthest,New Hampshire
1210,April,2022,Shelby,OH,Passenger,0,1,1,2,3,33.33,Furthest,Ohio
1211,April,2022,St. Louis,MO,Passenger,1,0,1,66,67,1.49,Furthest,Missouri
1212,April,2022,Allen,IN,Passenger,1,0,1,13,14,7.14,Furthest,Indiana
1213,April,2022,Orange,CA,Passenger,5,2,7,357,364,1.92,Nearest,California
1214,April,2022,Juneau,AK,Passenger,0,1,1,29,30,3.33,Nearest,Alaska
1215,April,2022,Fairfax,VA,Passenger,5,3,8,612,620,1.29,Furthest,Virginia
1216,April,2022,Albemarle,VA,Passenger,1,0,1,17,18,5.56,Furthest,Virginia
1218,April,2022,Wilson,NC,Passenger,1,0,1,0,1,100.0,Furthest,North Carolina
1220,April,2022,Dorchester,SC,Passenger,1,0,1,57,58,1.72,Furthest,South Carolina
1221,April,2022,Broward,FL,Passenger,2,0,2,81,83,2.41,Furthest,Florida
1224,April,2022,Sumter,SC,Passenger,0,1,1,31,32,3.12,Furthest,South Carolina
1225,April,2022,Yellowstone,MT,Passenger,0,1,1,26,27,3.7,Nearest,Montana
1226,April,2022,San Mateo,CA,Passenger,2,0,2,78,80,2.5,Nearest,California
1227,April,2022,Sevier,AR,Passenger,0,1,1,0,1,100.0,Mid-Distance,Arkansas
1229,April,2022,Montgomery,PA,Passenger,2,0,2,21,23,8.7,Furthest,Pennsylvania
1230,April,2022,Kauai,HI,Passenger,1,0,1,18,19,5.26,Nearest,Hawaii
1231,April,2022,Bell,TX,Passenger,1,0,1,322,323,0.31,Mid-Distance,Texas
1232,April,2022,Oldham,KY,Passenger,0,1,1,4,5,20.0,Furthest,Kentucky
1233,April,2022,Hawaii,HI,Passenger,1,0,1,36,37,2.7,Nearest,Hawaii
1235,April,2022,Collin,TX,Passenger,2,0,2,92,94,2.13,Mid-Distance,Texas
1237,April,2022,Santa Clara,CA,Passenger,9,1,10,217,227,4.41,Nearest,California
1238,April,2022,Ray,MO,Passenger,0,1,1,1,2,50.0,Furthest,Missouri
1240,April,2022,Douglas,CO,Passenger,0,1,1,73,74,1.35,Mid-Distance,Colorado
1243,April,2022,Hamilton,IN,Passenger,1,0,1,21,22,4.55,Furthest,Indiana
1246,April,2022,San Bernardino,CA,Passenger,1,1,2,335,337,0.59,Nearest,California
1247,April,2022,Galveston,TX,Passenger,0,1,1,19,20,5.0,Mid-Distance,Texas
1248,April,2022,Larimer,CO,Passenger,1,0,1,48,49,2.04,Mid-Distance,Colorado
1249,April,2022,Williams,ND,Passenger,0,1,1,7,8,12.5,Mid-Distance,North Dakota
1250,April,2022,Greene,MO,Passenger,0,1,1,23,24,4.17,Furthest,Missouri
1251,April,2022,Alexandria,VA,Passenger,3,0,3,107,110,2.73,Furthest,Virginia
1252,April,2022,Williamson,TX,Passenger,1,2,3,82,85,3.53,Mid-Distance,Texas
1254,April,2022,Nueces,TX,Passenger,1,1,2,57,59,3.39,Mid-Distance,Texas
1255,April,2022,Hennepin,MN,Passenger,3,0,3,57,60,5.0,Mid-Distance,Minnesota
1256,April,2022,Placer,CA,Passenger,2,0,2,69,71,2.82,Nearest,California
1260,April,2022,New York,NY,Passenger,1,0,1,35,36,2.78,Furthest,New York
1261,April,2022,Sacramento,CA,Passenger,2,0,2,198,200,1.0,Nearest,California
1262,April,2022,El Paso,CO,Passenger,3,1,4,602,606,0.66,Mid-Distance,Colorado
1263,April,2022,Fort Bend,TX,Passenger,1,0,1,31,32,3.12,Mid-Distance,Texas
1265,April,2022,Dallas,TX,Passenger,1,0,1,114,115,0.87,Mid-Distance,Texas
1266,April,2022,New Haven,CT,Passenger,0,2,2,28,30,6.67,Furthest,Connecticut
1268,April,2022,Hillsborough,FL,Passenger,0,2,2,122,124,1.61,Furthest,Florida
1269,April,2022,Harris,TX,Passenger,2,0,2,146,148,1.35,Mid-Distance,Texas
1270,April,2022,Charleston,SC,Passenger,2,1,3,61,64,4.69,Furthest,South Carolina
1271,April,2022,Onslow,NC,Passenger,0,1,1,159,160,0.62,Furthest,North Carolina
1273,April,2022,Douglas,NE,Passenger,1,2,3,43,46,6.52,Mid-Distance,Nebraska
1275,April,2022,Rockdale,GA,Passenger,1,0,1,8,9,11.11,Furthest,Georgia
1276,April,2022,Kings,NY,Passenger,1,0,1,59,60,1.67,Furthest,New York
1278,April,2022,Spartanburg,SC,Passenger,0,1,1,40,41,2.44,Furthest,South Carolina
1280,April,2022,District of Columbia,DC,Passenger,4,0,4,180,184,2.17,Furthest,District of Columbia
1281,April,2022,Stafford,VA,Passenger,2,1,3,89,92,3.26,Furthest,Virginia
1282,April,2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33,Nearest,Idaho
1283,April,2022,Charles,MD,Passenger,0,1,1,56,57,1.75,Furthest,Maryland
1284,April,2022,Danville,VA,Passenger,1,0,1,0,1,100.0,Furthest,Virginia
1285,April,2022,Pima,AZ,Passenger,1,1,2,224,226,0.88,Nearest,Arizona
1287,April,2022,Allegheny,PA,Passenger,1,1,2,53,55,3.64,Furthest,Pennsylvania
1288,April,2022,Travis,TX,Passenger,1,0,1,110,111,0.9,Mid-Distance,Texas
1290,April,2022,Cape May,NJ,Passenger,0,1,1,7,8,12.5,Furthest,New Jersey
1291,April,2022,Washington,MD,Passenger,2,0,2,14,16,12.5,Furthest,Maryland
1294,April,2022,Howard,IN,Passenger,0,1,1,5,6,16.67,Furthest,Indiana
1295,April,2022,Ulster,NY,Passenger,1,0,1,8,9,11.11,Furthest,New York
1296,April,2022,Suffolk,VA,Passenger,1,0,1,121,122,0.82,Furthest,Virginia
1297,April,2022,St. Tammany,LA,Passenger,1,0,1,36,37,2.7,Mid-Distance,Louisiana
1298,April,2022,Lake,FL,Passenger,1,0,1,20,21,4.76,Furthest,Florida
1299,April,2022,Boone,MO,Passenger,0,1,1,9,10,10.0,Furthest,Missouri
1300,April,2022,Norfolk,VA,Passenger,3,3,6,294,300,2.0,Furthest,Virginia
1301,April,2022,Howard,MD,Passenger,0,1,1,56,57,1.75,Furthest,Maryland
1302,April,2022,Gwinnett,GA,Passenger,1,0,1,50,51,1.96,Furthest,Georgia
1303,April,2022,Lee,FL,Passenger,1,0,1,28,29,3.45,Furthest,Florida
1304,April,2022,Sarasota,FL,Passenger,2,0,2,25,27,7.41,Furthest,Florida
1305,April,2022,Maricopa,AZ,Passenger,7,2,9,942,951,0.95,Nearest,Arizona
1308,April,2022,Carroll,MD,Passenger,0,1,1,15,16,6.25,Furthest,Maryland
1310,April,2022,Bartow,GA,Passenger,0,1,1,3,4,25.0,Furthest,Georgia
1315,April,2022,Kern,CA,Passenger,0,1,1,191,192,0.52,Nearest,California
1316,April,2022,Coryell,TX,Passenger,1,0,1,100,101,0.99,Mid-Distance,Texas
1317,April,2022,Prince William,VA,Passenger,0,1,1,196,197,0.51,Furthest,Virginia
1318,April,2022,Multnomah,OR,Passenger,0,4,4,546,550,0.73,Nearest,Oregon
1319,April,2022,Montgomery,MD,Passenger,4,2,6,193,199,3.02,Furthest,Maryland
1320,April,2022,Portsmouth,VA,Passenger,0,1,1,74,75,1.33,Furthest,Virginia
1321,April,2022,Los Angeles,CA,Passenger,8,7,15,777,792,1.89,Nearest,California
1322,April,2022,Wake,NC,Passenger,1,0,1,90,91,1.1,Furthest,North Carolina
1325,April,2022,Harnett,NC,Passenger,2,0,2,140,142,1.41,Furthest,North Carolina
1326,April,2022,Suffolk,MA,Passenger,0,1,1,22,23,4.35,Furthest,Massachusetts
1327,April,2022,Calvert,MD,Passenger,0,2,2,77,79,2.53,Furthest,Maryland
1328,April,2022,Cook,IL,Passenger,3,0,3,187,190,1.58,Mid-Distance,Illinois
1330,April,2022,Hamilton,OH,Passenger,1,0,1,28,29,3.45,Furthest,Ohio
1331,April,2022,Jefferson,NY,Passenger,0,1,1,203,204,0.49,Furthest,New York
1332,April,2022,Riverside,CA,Passenger,7,1,8,471,479,1.67,Nearest,California
1335,April,2022,Lake,IL,Passenger,3,0,3,140,143,2.1,Mid-Distance,Illinois
1336,April,2022,DeKalb,GA,Passenger,1,0,1,48,49,2.04,Furthest,Georgia
1337,April,2022,Richland,SC,Passenger,0,1,1,127,128,0.78,Furthest,South Carolina
1338,April,2022,Powhatan,VA,Passenger,1,0,1,1,2,50.0,Furthest,Virginia
1339,April,2022,Montgomery,TX,Passenger,1,0,1,31,32,3.12,Mid-Distance,Texas
1340,April,2022,Penobscot,ME,Passenger,0,1,1,6,7,14.29,Furthest,Maine
1342,April,2022,Kings,CA,Passenger,2,1,3,304,307,0.98,Nearest,California
1343,April,2022,Contra Costa,CA,Passenger,0,3,3,255,258,1.16,Nearest,California
1344,April,2022,Carson City,NV,Passenger,1,0,1,8,9,11.11,Nearest,Nevada
1345,April,2022,Escambia,FL,Passenger,0,1,1,132,133,0.75,Furthest,Florida
1346,April,2022,Salt Lake,UT,Passenger,1,1,2,131,133,1.5,Nearest,Utah
1351,April,2022,Geary,KS,Passenger,1,0,1,86,87,1.15,Mid-Distance,Kansas
1352,April,2022,Monterey,CA,Passenger,1,1,2,127,129,1.55,Nearest,California
1355,April,2023,Hamilton,OH,Truck,1,0,1,2,3,33.33,Furthest,Ohio
1356,April,2023,Kings,CA,Passenger,2,1,3,264,267,1.12,Nearest,California
1357,April,2023,Madison,IL,Passenger,1,0,1,16,17,5.88,Mid-Distance,Illinois
1358,April,2023,Frederick,MD,Passenger,1,0,1,52,53,1.89,Furthest,Maryland
1359,April,2023,Arlington,VA,Passenger,1,0,1,98,99,1.01,Furthest,Virginia
1361,April,2023,Sedgwick,KS,Passenger,1,0,1,52,53,1.89,Mid-Distance,Kansas
1362,April,2023,Marin,CA,Passenger,0,1,1,26,27,3.7,Nearest,California
1363,April,2023,Denton,TX,Passenger,1,0,1,44,45,2.22,Mid-Distance,Texas
1364,April,2023,Newport News,VA,Passenger,1,0,1,91,92,1.09,Furthest,Virginia
1365,April,2023,Leavenworth,KS,Passenger,0,1,1,89,90,1.11,Mid-Distance,Kansas
1366,April,2023,Richmond,GA,Passenger,0,1,1,54,55,1.82,Furthest,Georgia
1367,April,2023,Sonoma,CA,Passenger,1,1,2,51,53,3.77,Nearest,California
1368,April,2023,Oldham,KY,Passenger,0,1,1,4,5,20.0,Furthest,Kentucky
1370,April,2023,Okaloosa,FL,Passenger,0,1,1,85,86,1.16,Furthest,Florida
1371,April,2023,Richmond,NY,Passenger,1,0,1,6,7,14.29,Furthest,New York
1372,April,2023,Ventura,CA,Passenger,2,1,3,194,197,1.52,Nearest,California
1373,April,2023,Benton,OR,Passenger,1,0,1,33,34,2.94,Nearest,Oregon
1374,April,2023,Rock Island,IL,Passenger,0,1,1,14,15,6.67,Mid-Distance,Illinois
1375,April,2023,Carroll,MD,Passenger,0,1,1,17,18,5.56,Furthest,Maryland
1376,April,2023,Wichita,TX,Passenger,2,0,2,30,32,6.25,Mid-Distance,Texas
1377,April,2023,Contra Costa,CA,Passenger,0,3,3,193,196,1.53,Nearest,California
1379,April,2023,St. Louis,MO,Passenger,1,0,1,50,51,1.96,Furthest,Missouri
1381,April,2023,Elmore,ID,Passenger,1,0,1,9,10,10.0,Nearest,Idaho
1382,April,2023,Polk,OR,Passenger,0,1,1,15,16,6.25,Nearest,Oregon
1384,April,2023,Montgomery,PA,Passenger,1,0,1,14,15,6.67,Furthest,Pennsylvania
1385,April,2023,Essex,NJ,Passenger,2,0,2,4,6,33.33,Furthest,New Jersey
1387,April,2023,Stafford,VA,Passenger,3,1,4,73,77,5.19,Furthest,Virginia
1388,April,2023,Williamson,TX,Passenger,0,1,1,51,52,1.92,Mid-Distance,Texas
1389,April,2023,Broward,FL,Passenger,1,0,1,54,55,1.82,Furthest,Florida
1390,April,2023,San Bernardino,CA,Passenger,2,1,3,253,256,1.17,Nearest,California
1391,April,2023,St. Clair,IL,Passenger,2,0,2,101,103,1.94,Mid-Distance,Illinois
1392,April,2023,Honolulu,HI,Passenger,2,3,5,240,245,2.04,Nearest,Hawaii
1393,April,2023,Montgomery,MD,Passenger,3,3,6,168,174,3.45,Furthest,Maryland
1394,April,2023,Adams,CO,Passenger,1,0,1,27,28,3.57,Mid-Distance,Colorado
1396,April,2023,New London,CT,Passenger,1,4,5,169,174,2.87,Furthest,Connecticut
1397,April,2023,Escambia,FL,Passenger,0,1,1,106,107,0.93,Furthest,Florida
1398,April,2023,Kern,CA,Passenger,1,1,2,171,173,1.16,Nearest,California
1402,April,2023,Lane,OR,Passenger,0,1,1,63,64,1.56,Nearest,Oregon
1403,April,2023,Fairbanks North Star,AK,Passenger,0,1,1,48,49,2.04,Nearest,Alaska
1404,April,2023,Allen,IN,Passenger,1,0,1,9,10,10.0,Furthest,Indiana
1405,April,2023,Rockingham,NH,Passenger,1,0,1,10,11,9.09,Furthest,New Hampshire
1407,April,2023,Bell,TX,Passenger,1,0,1,242,243,0.41,Mid-Distance,Texas
1411,April,2023,Douglas,NE,Passenger,1,1,2,25,27,7.41,Mid-Distance,Nebraska
1413,April,2023,St. Tammany,LA,Passenger,1,0,1,30,31,3.23,Mid-Distance,Louisiana
1415,April,2023,Hawaii,HI,Passenger,1,0,1,23,24,4.17,Nearest,Hawaii
1416,April,2023,Charleston,SC,Passenger,2,2,4,52,56,7.14,Furthest,South Carolina
1417,April,2023,Washington,MD,Passenger,2,0,2,13,15,13.33,Furthest,Maryland
1418,April,2023,Calvert,MD,Passenger,1,1,2,72,74,2.7,Furthest,Maryland
1421,April,2023,Lincoln,OR,Passenger,0,1,1,12,13,7.69,Nearest,Oregon
1422,April,2023,Norfolk,VA,Passenger,3,2,5,254,259,1.93,Furthest,Virginia
1423,April,2023,Multnomah,OR,Passenger,0,2,2,404,406,0.49,Nearest,Oregon
1424,April,2023,Santa Barbara,CA,Passenger,1,0,1,61,62,1.61,Nearest,California
1426,April,2023,Suffolk,VA,Passenger,1,0,1,101,102,0.98,Furthest,Virginia
1427,April,2023,Travis,TX,Passenger,1,0,1,76,77,1.3,Mid-Distance,Texas
1428,April,2023,Ray,MO,Passenger,0,1,1,0,1,100.0,Furthest,Missouri
1429,April,2023,Champaign,IL,Passenger,1,0,1,7,8,12.5,Mid-Distance,Illinois
1430,April,2023,Rockdale,GA,Passenger,1,0,1,3,4,25.0,Furthest,Georgia
1431,April,2023,Kauai,HI,Passenger,1,1,2,13,15,13.33,Nearest,Hawaii
1432,April,2023,Solano,CA,Passenger,5,0,5,134,139,3.6,Nearest,California
1434,April,2023,Jefferson,NY,Passenger,1,1,2,167,169,1.18,Furthest,New York
1435,April,2023,Coryell,TX,Passenger,1,0,1,72,73,1.37,Mid-Distance,Texas
1436,April,2023,Placer,CA,Passenger,1,0,1,51,52,1.92,Nearest,California
1437,April,2023,Bexar,TX,Passenger,3,3,6,340,346,1.73,Mid-Distance,Texas
1438,April,2023,Hidalgo,TX,Passenger,0,1,1,45,46,2.17,Mid-Distance,Texas
1439,April,2023,Howard,MD,Passenger,0,1,1,42,43,2.33,Furthest,Maryland
1440,April,2023,Lake,IL,Passenger,2,0,2,110,112,1.79,Mid-Distance,Illinois
1441,April,2023,Chesapeake,VA,Passenger,2,3,5,272,277,1.81,Furthest,Virginia
1445,April,2023,Nassau,NY,Passenger,1,0,1,21,22,4.55,Furthest,New York
1446,April,2023,District of Columbia,DC,Passenger,4,0,4,147,151,2.65,Furthest,District of Columbia
1449,April,2023,Beaufort,SC,Passenger,1,0,1,18,19,5.26,Furthest,South Carolina
1453,April,2023,Monterey,CA,Passenger,1,1,2,108,110,1.82,Nearest,California
1454,April,2023,DeKalb,GA,Passenger,1,0,1,38,39,2.56,Furthest,Georgia
1456,April,2023,Orange,CA,Passenger,7,2,9,269,278,3.24,Nearest,California
1457,April,2023,Moore,NC,Passenger,0,1,1,102,103,0.97,Furthest,North Carolina
1459,April,2023,Hamilton,OH,Passenger,1,0,1,24,25,4.0,Furthest,Ohio
1461,April,2023,Prince George's,MD,Passenger,2,1,3,104,107,2.8,Furthest,Maryland
1462,April,2023,Pulaski,AR,Passenger,3,0,3,21,24,12.5,Mid-Distance,Arkansas
1463,April,2023,Dallas,TX,Passenger,1,0,1,73,74,1.35,Mid-Distance,Texas
1466,April,2023,Galveston,TX,Passenger,0,1,1,15,16,6.25,Mid-Distance,Texas
1467,April,2023,Virginia Beach,VA,Passenger,2,0,2,419,421,0.48,Furthest,Virginia
1468,April,2023,Hoke,NC,Passenger,1,0,1,55,56,1.79,Furthest,North Carolina
1469,April,2023,Salt Lake,UT,Passenger,0,1,1,88,89,1.12,Nearest,Utah
1470,April,2023,Clark,NV,Passenger,4,2,6,375,381,1.57,Nearest,Nevada
1471,April,2023,Larimer,CO,Passenger,1,0,1,36,37,2.7,Mid-Distance,Colorado
1472,April,2023,Randolph,NC,Passenger,1,0,1,3,4,25.0,Furthest,North Carolina
1473,April,2023,Vernon,LA,Passenger,1,0,1,68,69,1.45,Mid-Distance,Louisiana
1474,April,2023,Harnett,NC,Passenger,4,0,4,120,124,3.23,Furthest,North Carolina
1475,April,2023,Hillsborough,FL,Passenger,0,1,1,100,101,0.99,Furthest,Florida
1481,April,2023,New Haven,CT,Passenger,0,2,2,21,23,8.7,Furthest,Connecticut
1482,April,2023,Lee,AL,Passenger,1,0,1,11,12,8.33,Furthest,Alabama
1483,April,2023,Goochland,VA,Passenger,0,1,1,39,40,2.5,Furthest,Virginia
1484,April,2023,Anne Arundel,MD,Passenger,4,4,8,287,295,2.71,Furthest,Maryland
1485,April,2023,Kootenai,ID,Truck,1,0,1,27,28,3.57,Nearest,Idaho
1487,April,2023,San Diego,CA,Passenger,16,9,25,1874,1899,1.32,Nearest,California
1488,April,2023,Las Animas,CO,Passenger,1,0,1,0,1,100.0,Mid-Distance,Colorado
1490,April,2023,Yavapai,AZ,Passenger,1,0,1,20,21,4.76,Nearest,Arizona
1491,April,2023,Boulder,CO,Passenger,1,0,1,24,25,4.0,Mid-Distance,Colorado
1492,April,2023,Camden,NJ,Passenger,0,1,1,12,13,7.69,Furthest,New Jersey
1494,April,2023,Emmet,MI,Passenger,0,1,1,0,1,100.0,Furthest,Michigan
1495,April,2023,Hennepin,MN,Passenger,1,0,1,30,31,3.23,Mid-Distance,Minnesota
1497,April,2023,Nueces,TX,Passenger,0,1,1,49,50,2.0,Mid-Distance,Texas
1499,April,2023,Collin,TX,Passenger,2,0,2,39,41,4.88,Mid-Distance,Texas
1501,April,2023,Maricopa,AZ,Passenger,7,3,10,578,588,1.7,Nearest,Arizona
1502,April,2023,Santa Clara,CA,Passenger,8,2,10,146,156,6.41,Nearest,California
1503,April,2023,Berkeley,SC,Passenger,0,1,1,99,100,1.0,Furthest,South Carolina
1504,April,2023,Gwinnett,GA,Passenger,1,0,1,41,42,2.38,Furthest,Georgia
1505,April,2023,Fairfax,VA,Passenger,4,3,7,529,536,1.31,Furthest,Virginia
1507,April,2023,Hudson,NJ,Passenger,1,0,1,16,17,5.88,Furthest,New Jersey
1509,April,2023,Alexandria,VA,Passenger,3,1,4,87,91,4.4,Furthest,Virginia
1510,April,2023,Harrison,MS,Passenger,1,0,1,29,30,3.33,Mid-Distance,Mississippi
1511,April,2023,Loudoun,VA,Passenger,3,0,3,56,59,5.08,Furthest,Virginia
1516,April,2023,Fairfax,VA,Truck,1,0,1,86,87,1.15,Furthest,Virginia
1517,April,2023,El Paso,CO,Passenger,3,1,4,475,479,0.84,Mid-Distance,Colorado
1518,April,2023,Portsmouth,VA,Passenger,0,1,1,61,62,1.61,Furthest,Virginia
1520,April,2023,Duval,FL,Passenger,1,0,1,221,222,0.45,Furthest,Florida
1521,April,2023,Douglas,CO,Passenger,0,1,1,50,51,1.96,Mid-Distance,Colorado
1523,April,2023,Cape May,NJ,Passenger,0,1,1,7,8,12.5,Furthest,New Jersey
1525,April,2023,Platte,MO,Passenger,1,0,1,16,17,5.88,Furthest,Missouri
1528,April,2023,Arapahoe,CO,Passenger,1,1,2,66,68,2.94,Mid-Distance,Colorado
1530,April,2023,Los Angeles,CA,Passenger,4,5,9,585,594,1.52,Nearest,California
